Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie
12/14/2025,11:30 AM,12:30 PM,Vancouver Canucks,,New Jersey Devils,,Scheduled,,
12/14/2025,2:00 PM,3:00 PM,Utah Mammoth,,Pittsburgh Penguins,,Scheduled,,
12/14/2025,4:00 PM,5:00 PM,Philadelphia Flyers,,Carolina Hurricanes,,Scheduled,,
12/14/2025,5:00 PM,6:00 PM,Boston Bruins,,Minnesota Wild,,Scheduled,,
12/14/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Montreal Canadiens,,Scheduled,,
12/14/2025,7:00 PM,8:00 PM,Buffalo Sabres,,Seattle Kraken,,Scheduled,,
12/15/2025,6:00 PM,7:00 PM,Florida Panthers,,Tampa Bay Lightning,,Scheduled,,
12/15/2025,6:00 PM,7:00 PM,Anaheim Ducks,,New York Rangers,,Scheduled,,
12/15/2025,6:30 PM,7:30 PM,Ottawa Senators,,Winnipeg Jets,,Scheduled,,
12/15/2025,7:00 PM,8:00 PM,Nashville Predators,,St. Louis Blues,,Scheduled,,
12/15/2025,7:00 PM,8:00 PM,Los Angeles Kings,,Dallas Stars,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,Utah Mammoth,,Boston Bruins,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,Chicago Blackhawks,,Toronto Maple Leafs,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,Philadelphia Flyers,,Montreal Canadiens,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,New York Islanders,,Detroit Red Wings,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,Vancouver Canucks,,New York Rangers,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Pittsburgh Penguins,,Scheduled,,
12/16/2025,6:00 PM,7:00 PM,Anaheim Ducks,,Columbus Blue Jackets,,Scheduled,,
12/16/2025,7:00 PM,8:00 PM,Washington Capitals,,Minnesota Wild,,Scheduled,,
12/16/2025,9:00 PM,10:00 PM,Calgary Flames,,San Jose Sharks,,Scheduled,,
12/16/2025,9:00 PM,10:00 PM,Colorado Avalanche,,Seattle Kraken,,Scheduled,,
12/17/2025,6:00 PM,7:00 PM,Los Angeles Kings,,Florida Panthers,,Scheduled,,
12/17/2025,6:30 PM,7:30 PM,Utah Mammoth,,Detroit Red Wings,,Scheduled,,
12/17/2025,7:00 PM,8:00 PM,Winnipeg Jets,,St. Louis Blues,,Scheduled,,
12/17/2025,7:00 PM,8:00 PM,Carolina Hurricanes,,Nashville Predators,,Scheduled,,
12/17/2025,9:00 PM,10:00 PM,New Jersey Devils,,Vegas Golden Knights,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Boston Bruins,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Philadelphia Flyers,,Buffalo Sabres,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Chicago Blackhawks,,Montreal Canadiens,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Pittsburgh Penguins,,Ottawa Senators,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Los Angeles Kings,,Tampa Bay Lightning,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Washington Capitals,,Scheduled,,
12/18/2025,6:00 PM,7:00 PM,Minnesota Wild,,Columbus Blue Jackets,,Scheduled,,
12/18/2025,7:00 PM,8:00 PM,New York Rangers,,St. Louis Blues,,Scheduled,,
12/18/2025,8:00 PM,9:00 PM,Seattle Kraken,,Calgary Flames,,Scheduled,,
12/18/2025,9:00 PM,10:00 PM,Dallas Stars,,San Jose Sharks,,Scheduled,,
12/19/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Florida Panthers,,Scheduled,,
12/19/2025,6:00 PM,7:00 PM,Vancouver Canucks,,New York Islanders,,Scheduled,,
12/19/2025,8:00 PM,9:00 PM,Winnipeg Jets,,Colorado Avalanche,,Scheduled,,
12/19/2025,8:00 PM,9:00 PM,New Jersey Devils,,Utah Mammoth,,Scheduled,,
12/19/2025,9:00 PM,10:00 PM,Dallas Stars,,Anaheim Ducks,,Scheduled,,
12/20/2025,11:30 AM,12:30 PM,Philadelphia Flyers,,New York Rangers,,Scheduled,,
12/20/2025,11:30 AM,12:30 PM,Detroit Red Wings,,Washington Capitals,,Scheduled,,
12/20/2025,2:00 PM,3:00 PM,Chicago Blackhawks,,Ottawa Senators,,Scheduled,,
12/20/2025,2:00 PM,3:00 PM,Edmonton Oilers,,Minnesota Wild,,Scheduled,,
12/20/2025,4:00 PM,5:00 PM,New York Islanders,,Buffalo Sabres,,Scheduled,,
12/20/2025,5:00 PM,6:00 PM,St. Louis Blues,,Florida Panthers,,Scheduled,,
12/20/2025,6:00 PM,7:00 PM,Vancouver Canucks,,Boston Bruins,,Scheduled,,
12/20/2025,6:00 PM,7:00 PM,Pittsburgh Penguins,,Montreal Canadiens,,Scheduled,,
12/20/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Tampa Bay Lightning,,Scheduled,,
12/20/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Nashville Predators,,Scheduled,,
12/20/2025,9:00 PM,10:00 PM,Vegas Golden Knights,,Calgary Flames,,Scheduled,,
12/20/2025,9:00 PM,10:00 PM,Columbus Blue Jackets,,Anaheim Ducks,,Scheduled,,
12/20/2025,9:00 PM,10:00 PM,Seattle Kraken,,San Jose Sharks,,Scheduled,,
12/21/2025,12:00 PM,1:00 PM,Washington Capitals,,Detroit Red Wings,,Scheduled,,
12/21/2025,5:00 PM,6:00 PM,Colorado Avalanche,,Minnesota Wild,,Scheduled,,
12/21/2025,6:00 PM,7:00 PM,Ottawa Senators,,Boston Bruins,,Scheduled,,
12/21/2025,6:00 PM,7:00 PM,Buffalo Sabres,,New Jersey Devils,,Scheduled,,
12/21/2025,6:00 PM,7:00 PM,Montreal Canadiens,,Pittsburgh Penguins,,Scheduled,,
12/21/2025,6:00 PM,7:00 PM,New York Rangers,,Nashville Predators,,Scheduled,,
12/21/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Dallas Stars,,Scheduled,,
12/21/2025,6:00 PM,7:00 PM,Winnipeg Jets,,Utah Mammoth,,Scheduled,,
12/21/2025,7:00 PM,8:00 PM,Vegas Golden Knights,,Edmonton Oilers,,Scheduled,,
12/22/2025,6:00 PM,7:00 PM,St. Louis Blues,,Tampa Bay Lightning,,Scheduled,,
12/22/2025,6:30 PM,7:30 PM,Vancouver Canucks,,Philadelphia Flyers,,Scheduled,,
12/22/2025,9:00 PM,10:00 PM,Seattle Kraken,,Anaheim Ducks,,Scheduled,,
12/22/2025,9:00 PM,10:00 PM,Columbus Blue Jackets,,Los Angeles Kings,,Scheduled,,
12/23/2025,3:00 PM,4:00 PM,Pittsburgh Penguins,,Toronto Maple Leafs,,Scheduled,,
12/23/2025,5:30 PM,6:30 PM,New York Rangers,,Washington Capitals,,Scheduled,,
12/23/2025,6:00 PM,7:00 PM,Montreal Canadiens,,Boston Bruins,,Scheduled,,
12/23/2025,6:00 PM,7:00 PM,Buffalo Sabres,,Ottawa Senators,,Scheduled,,
12/23/2025,6:00 PM,7:00 PM,Dallas Stars,,Detroit Red Wings,,Scheduled,,
12/23/2025,6:00 PM,7:00 PM,New Jersey Devils,,New York Islanders,,Scheduled,,
12/23/2025,6:00 PM,7:00 PM,Florida Panthers,,Carolina Hurricanes,,Scheduled,,
12/23/2025,7:00 PM,8:00 PM,Nashville Predators,,Minnesota Wild,,Scheduled,,
12/23/2025,8:00 PM,9:00 PM,Philadelphia Flyers,,Chicago Blackhawks,,Scheduled,,
12/23/2025,8:00 PM,9:00 PM,Utah Mammoth,,Colorado Avalanche,,Scheduled,,
12/23/2025,8:00 PM,9:00 PM,Calgary Flames,,Edmonton Oilers,,Scheduled,,
12/23/2025,9:00 PM,10:00 PM,San Jose Sharks,,Vegas Golden Knights,,Scheduled,,
12/23/2025,9:00 PM,10:00 PM,Seattle Kraken,,Los Angeles Kings,,Scheduled,,
12/27/2025,5:00 PM,6:00 PM,New York Rangers,,New York Islanders,,Scheduled,,
12/27/2025,6:00 PM,7:00 PM,Boston Bruins,,Buffalo Sabres,,Scheduled,,
12/27/2025,6:00 PM,7:00 PM,Ottawa Senators,,Toronto Maple Leafs,,Scheduled,,
12/27/2025,6:00 PM,7:00 PM,Tampa Bay Lightning,,Florida Panthers,,Scheduled,,
12/27/2025,6:00 PM,7:00 PM,Washington Capitals,,New Jersey Devils,,Scheduled,,
12/27/2025,6:00 PM,7:00 PM,Detroit Red Wings,,Carolina Hurricanes,,Scheduled,,
12/27/2025,6:00 PM,7:00 PM,Minnesota Wild,,Winnipeg Jets,,Scheduled,,
12/27/2025,7:00 PM,8:00 PM,Nashville Predators,,St. Louis Blues,,Scheduled,,
12/27/2025,7:00 PM,8:00 PM,Chicago Blackhawks,,Dallas Stars,,Scheduled,,
12/27/2025,8:00 PM,9:00 PM,Anaheim Ducks,,Los Angeles Kings,,Scheduled,,
12/27/2025,9:00 PM,10:00 PM,Edmonton Oilers,,Calgary Flames,,Scheduled,,
12/27/2025,9:00 PM,10:00 PM,San Jose Sharks,,Vancouver Canucks,,Scheduled,,
12/27/2025,9:00 PM,10:00 PM,Colorado Avalanche,,Vegas Golden Knights,,Scheduled,,
12/28/2025,4:00 PM,5:00 PM,Toronto Maple Leafs,,Detroit Red Wings,,Scheduled,,
12/28/2025,4:00 PM,5:00 PM,Montreal Canadiens,,Tampa Bay Lightning,,Scheduled,,
12/28/2025,4:00 PM,5:00 PM,New York Islanders,,Columbus Blue Jackets,,Scheduled,,
12/28/2025,6:00 PM,7:00 PM,Pittsburgh Penguins,,Chicago Blackhawks,,Scheduled,,
12/28/2025,7:00 PM,8:00 PM,Philadelphia Flyers,,Seattle Kraken,,Scheduled,,
12/29/2025,6:00 PM,7:00 PM,Columbus Blue Jackets,,Ottawa Senators,,Scheduled,,
12/29/2025,6:00 PM,7:00 PM,Washington Capitals,,Florida Panthers,,Scheduled,,
12/29/2025,6:00 PM,7:00 PM,New York Rangers,,Carolina Hurricanes,,Scheduled,,
12/29/2025,6:30 PM,7:30 PM,Edmonton Oilers,,Winnipeg Jets,,Scheduled,,
12/29/2025,7:00 PM,8:00 PM,Buffalo Sabres,,St. Louis Blues,,Scheduled,,
12/29/2025,8:00 PM,9:00 PM,Los Angeles Kings,,Colorado Avalanche,,Scheduled,,
12/29/2025,8:00 PM,9:00 PM,Nashville Predators,,Utah Mammoth,,Scheduled,,
12/29/2025,8:00 PM,9:00 PM,Boston Bruins,,Calgary Flames,,Scheduled,,
12/29/2025,9:00 PM,10:00 PM,Minnesota Wild,,Vegas Golden Knights,,Scheduled,,
12/29/2025,9:00 PM,10:00 PM,San Jose Sharks,,Anaheim Ducks,,Scheduled,,
12/29/2025,9:00 PM,10:00 PM,Vancouver Canucks,,Seattle Kraken,,Scheduled,,
12/30/2025,6:00 PM,7:00 PM,New Jersey Devils,,Toronto Maple Leafs,,Scheduled,,
12/30/2025,6:00 PM,7:00 PM,Montreal Canadiens,,Florida Panthers,,Scheduled,,
12/30/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Pittsburgh Penguins,,Scheduled,,
12/30/2025,7:30 PM,8:30 PM,New York Islanders,,Chicago Blackhawks,,Scheduled,,
12/30/2025,9:00 PM,10:00 PM,Philadelphia Flyers,,Vancouver Canucks,,Scheduled,,
12/31/2025,11:30 AM,12:30 PM,New York Rangers,,Washington Capitals,,Scheduled,,
12/31/2025,2:00 PM,3:00 PM,Nashville Predators,,Vegas Golden Knights,,Scheduled,,
12/31/2025,3:00 PM,4:00 PM,Tampa Bay Lightning,,Anaheim Ducks,,Scheduled,,
12/31/2025,3:00 PM,4:00 PM,Minnesota Wild,,San Jose Sharks,,Scheduled,,
12/31/2025,5:30 PM,6:30 PM,Winnipeg Jets,,Detroit Red Wings,,Scheduled,,
12/31/2025,6:00 PM,7:00 PM,New Jersey Devils,,Columbus Blue Jackets,,Scheduled,,
12/31/2025,7:00 PM,8:00 PM,Buffalo Sabres,,Dallas Stars,,Scheduled,,
12/31/2025,8:00 PM,9:00 PM,St. Louis Blues,,Colorado Avalanche,,Scheduled,,
12/31/2025,8:30 PM,9:30 PM,Philadelphia Flyers,,Calgary Flames,,Scheduled,,
12/31/2025,8:30 PM,9:30 PM,Boston Bruins,,Edmonton Oilers,,Scheduled,,
1/1/2026,12:00 PM,1:00 PM,Washington Capitals,,Ottawa Senators,,Scheduled,,
1/1/2026,2:00 PM,3:00 PM,Utah Mammoth,,New York Islanders,,Scheduled,,
1/1/2026,6:00 PM,7:00 PM,Winnipeg Jets,,Toronto Maple Leafs,,Scheduled,,
1/1/2026,6:00 PM,7:00 PM,Detroit Red Wings,,Pittsburgh Penguins,,Scheduled,,
1/1/2026,6:00 PM,7:00 PM,Montreal Canadiens,,Carolina Hurricanes,,Scheduled,,
1/1/2026,7:30 PM,8:30 PM,Dallas Stars,,Chicago Blackhawks,,Scheduled,,
1/1/2026,9:00 PM,10:00 PM,Nashville Predators,,Seattle Kraken,,Scheduled,,
1/1/2026,9:30 PM,10:30 PM,Tampa Bay Lightning,,Los Angeles Kings,,Scheduled,,
1/2/2026,2:00 PM,3:00 PM,Vegas Golden Knights,,St. Louis Blues,,Scheduled,,
1/2/2026,7:00 PM,8:00 PM,New York Rangers,,Florida Panthers,,Scheduled,,
1/2/2026,9:30 PM,10:30 PM,Seattle Kraken,,Vancouver Canucks,,Scheduled,,
1/2/2026,9:30 PM,10:30 PM,Minnesota Wild,,Anaheim Ducks,,Scheduled,,
1/3/2026,11:00 AM,12:00 PM,Pittsburgh Penguins,,Detroit Red Wings,,Scheduled,,
1/3/2026,2:00 PM,3:00 PM,Utah Mammoth,,New Jersey Devils,,Scheduled,,
1/3/2026,2:00 PM,3:00 PM,Buffalo Sabres,,Columbus Blue Jackets,,Scheduled,,
1/3/2026,2:30 PM,3:30 PM,Philadelphia Flyers,,Edmonton Oilers,,Scheduled,,
1/3/2026,3:00 PM,4:00 PM,Montreal Canadiens,,St. Louis Blues,,Scheduled,,
1/3/2026,3:00 PM,4:00 PM,Tampa Bay Lightning,,San Jose Sharks,,Scheduled,,
1/3/2026,6:00 PM,7:00 PM,Winnipeg Jets,,Ottawa Senators,,Scheduled,,
1/3/2026,6:00 PM,7:00 PM,Toronto Maple Leafs,,New York Islanders,,Scheduled,,
1/3/2026,6:00 PM,7:00 PM,Chicago Blackhawks,,Washington Capitals,,Scheduled,,
1/3/2026,6:00 PM,7:00 PM,Colorado Avalanche,,Carolina Hurricanes,,Scheduled,,
1/3/2026,6:00 PM,7:00 PM,Nashville Predators,,Calgary Flames,,Scheduled,,
1/3/2026,8:00 PM,9:00 PM,Minnesota Wild,,Los Angeles Kings,,Scheduled,,
1/3/2026,9:00 PM,10:00 PM,Boston Bruins,,Vancouver Canucks,,Scheduled,,
1/4/2026,1:00 PM,2:00 PM,Montreal Canadiens,,Dallas Stars,,Scheduled,,
1/4/2026,2:00 PM,3:00 PM,Pittsburgh Penguins,,Columbus Blue Jackets,,Scheduled,,
1/4/2026,4:00 PM,5:00 PM,Colorado Avalanche,,Florida Panthers,,Scheduled,,
1/4/2026,6:00 PM,7:00 PM,Carolina Hurricanes,,New Jersey Devils,,Scheduled,,
1/4/2026,6:00 PM,7:00 PM,Vegas Golden Knights,,Chicago Blackhawks,,Scheduled,,
1/5/2026,6:00 PM,7:00 PM,Utah Mammoth,,New York Rangers,,Scheduled,,
1/5/2026,6:00 PM,7:00 PM,Anaheim Ducks,,Washington Capitals,,Scheduled,,
1/5/2026,6:30 PM,7:30 PM,Detroit Red Wings,,Ottawa Senators,,Scheduled,,
1/5/2026,8:30 PM,9:30 PM,Seattle Kraken,,Calgary Flames,,Scheduled,,
1/5/2026,9:30 PM,10:30 PM,Minnesota Wild,,Los Angeles Kings,,Scheduled,,
1/6/2026,6:00 PM,7:00 PM,Vancouver Canucks,,Buffalo Sabres,,Scheduled,,
1/6/2026,6:00 PM,7:00 PM,Colorado Avalanche,,Tampa Bay Lightning,,Scheduled,,
1/6/2026,6:00 PM,7:00 PM,New Jersey Devils,,New York Islanders,,Scheduled,,
1/6/2026,6:00 PM,7:00 PM,Anaheim Ducks,,Philadelphia Flyers,,Scheduled,,
1/6/2026,6:00 PM,7:00 PM,Dallas Stars,,Carolina Hurricanes,,Scheduled,,
1/6/2026,6:30 PM,7:30 PM,Florida Panthers,,Toronto Maple Leafs,,Scheduled,,
1/6/2026,7:00 PM,8:00 PM,Vegas Golden Knights,,Winnipeg Jets,,Scheduled,,
1/6/2026,8:00 PM,9:00 PM,Nashville Predators,,Edmonton Oilers,,Scheduled,,
1/6/2026,9:00 PM,10:00 PM,Columbus Blue Jackets,,San Jose Sharks,,Scheduled,,
1/6/2026,9:00 PM,10:00 PM,Boston Bruins,,Seattle Kraken,,Scheduled,,
1/7/2026,6:00 PM,7:00 PM,Dallas Stars,,Washington Capitals,,Scheduled,,
1/7/2026,6:30 PM,7:30 PM,Calgary Flames,,Montreal Canadiens,,Scheduled,,
1/7/2026,8:30 PM,9:30 PM,St. Louis Blues,,Chicago Blackhawks,,Scheduled,,
1/7/2026,8:30 PM,9:30 PM,Ottawa Senators,,Utah Mammoth,,Scheduled,,
1/7/2026,9:30 PM,10:30 PM,San Jose Sharks,,Los Angeles Kings,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,Calgary Flames,,Boston Bruins,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,Florida Panthers,,Montreal Canadiens,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,Vancouver Canucks,,Detroit Red Wings,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,Buffalo Sabres,,New York Rangers,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,Toronto Maple Leafs,,Philadelphia Flyers,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,New Jersey Devils,,Pittsburgh Penguins,,Scheduled,,
1/8/2026,6:00 PM,7:00 PM,Anaheim Ducks,,Carolina Hurricanes,,Scheduled,,
1/8/2026,7:00 PM,8:00 PM,New York Islanders,,Nashville Predators,,Scheduled,,
1/8/2026,7:00 PM,8:00 PM,Edmonton Oilers,,Winnipeg Jets,,Scheduled,,
1/8/2026,8:00 PM,9:00 PM,Ottawa Senators,,Colorado Avalanche,,Scheduled,,
1/8/2026,9:00 PM,10:00 PM,Columbus Blue Jackets,,Vegas Golden Knights,,Scheduled,,
1/8/2026,9:00 PM,10:00 PM,Minnesota Wild,,Seattle Kraken,,Scheduled,,
1/9/2026,7:00 PM,8:00 PM,Washington Capitals,,Chicago Blackhawks,,Scheduled,,
1/9/2026,7:00 PM,8:00 PM,Los Angeles Kings,,Winnipeg Jets,,Scheduled,,
1/9/2026,8:00 PM,9:00 PM,St. Louis Blues,,Utah Mammoth,,Scheduled,,
1/10/2026,12:00 PM,1:00 PM,New York Rangers,,Boston Bruins,,Scheduled,,
1/10/2026,2:30 PM,3:30 PM,Calgary Flames,,Pittsburgh Penguins,,Scheduled,,
1/10/2026,3:00 PM,4:00 PM,Columbus Blue Jackets,,Colorado Avalanche,,Scheduled,,
1/10/2026,3:00 PM,4:00 PM,Dallas Stars,,San Jose Sharks,,Scheduled,,
1/10/2026,6:00 PM,7:00 PM,Anaheim Ducks,,Buffalo Sabres,,Scheduled,,
1/10/2026,6:00 PM,7:00 PM,Vancouver Canucks,,Toronto Maple Leafs,,Scheduled,,
1/10/2026,6:00 PM,7:00 PM,Detroit Red Wings,,Montreal Canadiens,,Scheduled,,
1/10/2026,6:00 PM,7:00 PM,Florida Panthers,,Ottawa Senators,,Scheduled,,
1/10/2026,6:00 PM,7:00 PM,Tampa Bay Lightning,,Philadelphia Flyers,,Scheduled,,
1/10/2026,6:00 PM,7:00 PM,Seattle Kraken,,Carolina Hurricanes,,Scheduled,,
1/10/2026,7:00 PM,8:00 PM,Chicago Blackhawks,,Nashville Predators,,Scheduled,,
1/10/2026,7:00 PM,8:00 PM,New York Islanders,,Minnesota Wild,,Scheduled,,
1/10/2026,9:00 PM,10:00 PM,Los Angeles Kings,,Edmonton Oilers,,Scheduled,,
1/10/2026,9:00 PM,10:00 PM,St. Louis Blues,,Vegas Golden Knights,,Scheduled,,
1/11/2026,1:00 PM,2:00 PM,New Jersey Devils,,Winnipeg Jets,,Scheduled,,
1/11/2026,4:00 PM,5:00 PM,Pittsburgh Penguins,,Boston Bruins,,Scheduled,,
1/11/2026,6:00 PM,7:00 PM,Washington Capitals,,Nashville Predators,,Scheduled,,
1/11/2026,6:00 PM,7:00 PM,Columbus Blue Jackets,,Utah Mammoth,,Scheduled,,
1/11/2026,7:00 PM,8:00 PM,Vegas Golden Knights,,San Jose Sharks,,Scheduled,,
1/12/2026,6:00 PM,7:00 PM,Florida Panthers,,Buffalo Sabres,,Scheduled,,
1/12/2026,6:00 PM,7:00 PM,Carolina Hurricanes,,Detroit Red Wings,,Scheduled,,
1/12/2026,6:00 PM,7:00 PM,Seattle Kraken,,New York Rangers,,Scheduled,,
1/12/2026,6:00 PM,7:00 PM,Tampa Bay Lightning,,Philadelphia Flyers,,Scheduled,,
1/12/2026,6:30 PM,7:30 PM,Vancouver Canucks,,Montreal Canadiens,,Scheduled,,
1/12/2026,7:00 PM,8:00 PM,New Jersey Devils,,Minnesota Wild,,Scheduled,,
1/12/2026,7:30 PM,8:30 PM,Edmonton Oilers,,Chicago Blackhawks,,Scheduled,,
1/12/2026,9:00 PM,10:00 PM,Toronto Maple Leafs,,Colorado Avalanche,,Scheduled,,
1/12/2026,9:30 PM,10:30 PM,Dallas Stars,,Los Angeles Kings,,Scheduled,,
1/13/2026,6:00 PM,7:00 PM,Vancouver Canucks,,Ottawa Senators,,Scheduled,,
1/13/2026,6:00 PM,7:00 PM,Tampa Bay Lightning,,Pittsburgh Penguins,,Scheduled,,
1/13/2026,6:00 PM,7:00 PM,Montreal Canadiens,,Washington Capitals,,Scheduled,,
1/13/2026,6:00 PM,7:00 PM,Calgary Flames,,Columbus Blue Jackets,,Scheduled,,
1/13/2026,6:30 PM,7:30 PM,Detroit Red Wings,,Boston Bruins,,Scheduled,,
1/13/2026,7:00 PM,8:00 PM,Carolina Hurricanes,,St. Louis Blues,,Scheduled,,
1/13/2026,7:00 PM,8:00 PM,Edmonton Oilers,,Nashville Predators,,Scheduled,,
1/13/2026,7:00 PM,8:00 PM,New York Islanders,,Winnipeg Jets,,Scheduled,,
1/13/2026,8:00 PM,9:00 PM,Toronto Maple Leafs,,Utah Mammoth,,Scheduled,,
1/13/2026,9:00 PM,10:00 PM,Dallas Stars,,Anaheim Ducks,,Scheduled,,
1/14/2026,6:00 PM,7:00 PM,Seattle Kraken,,New Jersey Devils,,Scheduled,,
1/14/2026,6:30 PM,7:30 PM,Philadelphia Flyers,,Buffalo Sabres,,Scheduled,,
1/14/2026,6:30 PM,7:30 PM,Ottawa Senators,,New York Rangers,,Scheduled,,
1/14/2026,9:00 PM,10:00 PM,Vegas Golden Knights,,Los Angeles Kings,,Scheduled,,
1/15/2026,6:00 PM,7:00 PM,Seattle Kraken,,Boston Bruins,,Scheduled,,
1/15/2026,6:00 PM,7:00 PM,Montreal Canadiens,,Buffalo Sabres,,Scheduled,,
1/15/2026,6:00 PM,7:00 PM,Philadelphia Flyers,,Pittsburgh Penguins,,Scheduled,,
1/15/2026,6:00 PM,7:00 PM,San Jose Sharks,,Washington Capitals,,Scheduled,,
1/15/2026,6:00 PM,7:00 PM,Vancouver Canucks,,Columbus Blue Jackets,,Scheduled,,
1/15/2026,7:00 PM,8:00 PM,Winnipeg Jets,,Minnesota Wild,,Scheduled,,
1/15/2026,7:30 PM,8:30 PM,Calgary Flames,,Chicago Blackhawks,,Scheduled,,
1/15/2026,8:00 PM,9:00 PM,Dallas Stars,,Utah Mammoth,,Scheduled,,
1/15/2026,8:00 PM,9:00 PM,New York Islanders,,Edmonton Oilers,,Scheduled,,
1/15/2026,8:30 PM,9:30 PM,Toronto Maple Leafs,,Vegas Golden Knights,,Scheduled,,
1/16/2026,6:00 PM,7:00 PM,San Jose Sharks,,Detroit Red Wings,,Scheduled,,
1/16/2026,6:00 PM,7:00 PM,Florida Panthers,,Carolina Hurricanes,,Scheduled,,
1/16/2026,7:00 PM,8:00 PM,Tampa Bay Lightning,,St. Louis Blues,,Scheduled,,
1/16/2026,8:00 PM,9:00 PM,Nashville Predators,,Colorado Avalanche,,Scheduled,,
1/16/2026,9:30 PM,10:30 PM,Anaheim Ducks,,Los Angeles Kings,,Scheduled,,
1/17/2026,11:30 AM,12:30 PM,Minnesota Wild,,Buffalo Sabres,,Scheduled,,
1/17/2026,12:00 PM,1:00 PM,New York Rangers,,Philadelphia Flyers,,Scheduled,,
1/17/2026,2:00 PM,3:00 PM,New York Islanders,,Calgary Flames,,Scheduled,,
1/17/2026,4:00 PM,5:00 PM,Seattle Kraken,,Utah Mammoth,,Scheduled,,
1/17/2026,6:00 PM,7:00 PM,Montreal Canadiens,,Ottawa Senators,,Scheduled,,
1/17/2026,6:00 PM,7:00 PM,Carolina Hurricanes,,New Jersey Devils,,Scheduled,,
1/17/2026,6:00 PM,7:00 PM,Columbus Blue Jackets,,Pittsburgh Penguins,,Scheduled,,
1/17/2026,6:00 PM,7:00 PM,Florida Panthers,,Washington Capitals,,Scheduled,,
1/17/2026,6:00 PM,7:00 PM,Toronto Maple Leafs,,Winnipeg Jets,,Scheduled,,
1/17/2026,7:00 PM,8:00 PM,Boston Bruins,,Chicago Blackhawks,,Scheduled,,
1/17/2026,9:00 PM,10:00 PM,Edmonton Oilers,,Vancouver Canucks,,Scheduled,,
1/17/2026,9:00 PM,10:00 PM,Nashville Predators,,Vegas Golden Knights,,Scheduled,,
1/17/2026,9:00 PM,10:00 PM,Los Angeles Kings,,Anaheim Ducks,,Scheduled,,
1/18/2026,1:00 PM,2:00 PM,Tampa Bay Lightning,,Dallas Stars,,Scheduled,,
1/18/2026,4:00 PM,5:00 PM,Ottawa Senators,,Detroit Red Wings,,Scheduled,,
1/18/2026,7:00 PM,8:00 PM,St. Louis Blues,,Edmonton Oilers,,Scheduled,,
1/19/2026,12:30 PM,1:30 PM,Buffalo Sabres,,Carolina Hurricanes,,Scheduled,,
1/19/2026,3:00 PM,4:00 PM,Washington Capitals,,Colorado Avalanche,,Scheduled,,
1/19/2026,4:00 PM,5:00 PM,Pittsburgh Penguins,,Seattle Kraken,,Scheduled,,
1/19/2026,6:00 PM,7:00 PM,San Jose Sharks,,Florida Panthers,,Scheduled,,
1/19/2026,6:30 PM,7:30 PM,Minnesota Wild,,Toronto Maple Leafs,,Scheduled,,
1/19/2026,7:00 PM,8:00 PM,Philadelphia Flyers,,Vegas Golden Knights,,Scheduled,,
1/19/2026,7:30 PM,8:30 PM,Winnipeg Jets,,Chicago Blackhawks,,Scheduled,,
1/19/2026,8:00 PM,9:00 PM,New Jersey Devils,,Calgary Flames,,Scheduled,,
1/19/2026,9:00 PM,10:00 PM,New York Islanders,,Vancouver Canucks,,Scheduled,,
1/19/2026,9:00 PM,10:00 PM,New York Rangers,,Anaheim Ducks,,Scheduled,,
1/20/2026,6:00 PM,7:00 PM,Minnesota Wild,,Montreal Canadiens,,Scheduled,,
1/20/2026,6:00 PM,7:00 PM,San Jose Sharks,,Tampa Bay Lightning,,Scheduled,,
1/20/2026,6:00 PM,7:00 PM,Ottawa Senators,,Columbus Blue Jackets,,Scheduled,,
1/20/2026,6:30 PM,7:30 PM,Boston Bruins,,Dallas Stars,,Scheduled,,
1/20/2026,7:00 PM,8:00 PM,Buffalo Sabres,,Nashville Predators,,Scheduled,,
